4702,0
1827,0
5453,0
26934,0
19872,0
20771,0
11500,0
13424,0
15751,0
33917,1
34729,1
5927,0
17447,0
4678,0
188,0
28200,0
17440,0
34320,1
10921,0
1202,0
33216,0
31276,0
15895,0
34350,0
19892,0
10091,0
15559,1
19666,1
5648,0
10010,0
10314,1
34433,0
10906,0
12119,0
3308,0
34593,0
8114,0
26828,0
3978,0
12627,1
12983,0
9545,0
21600,0
15241,0
23560,1
31179,0
6740,0
11808,0
9291,1
32298,1
33666,1
4840,0
20347,0
23751,0
21313,0
5164,0
2221,1
6538,0
34272,1
24287,0
14406,0
6534,0
13988,0
13808,0
32318,1
2687,0
8704,0
16735,0
2178,0
24048,0
31764,1
26673,0
34442,1
17495,0
33900,0
21404,0
19794,1
21985,0
24896,0
9085,1
26252,0
22605,0
30335,1
5589,0
12788,1
8986,0
6632,0
26477,0
7747,0
24892,0
4628,0
16046,0
31567,1
28513,0
16936,0
20890,0
22518,0
16942,0
25180,1
3101,0
16786,0
27175,0
2762,0
11081,0
20264,0
27091,0
124,0
14886,0
18370,0
30233,1
12525,0
9708,0
8139,0
14640,0
16542,0
8096,0
10660,1
11527,0
12845,0
1705,0
34711,1
23127,0
33446,1
5678,0
1470,0
20280,0
18429,0
23107,1
9620,0
1642,1
32906,1
6052,0
3494,0
4320,0
31329,1
21888,0
32198,1
6460,0
10031,0
21412,1
3426,1
28682,0
34237,1
12362,0
12038,0
23167,0
2088,0
12036,0
12273,0
31908,1
1873,1
8485,0
6120,1
8398,0
7459,0
2485,0
17912,1
299,0
29376,0
4293,0
15793,0
9841,0
27296,0
13192,0
6462,1
3668,0
20228,1
34293,1
6947,0
15962,0
8865,0
13133,0
6517,0
12669,0
19620,0
13738,0
12567,0
3482,0
6755,0
16658,0
8696,0
34186,1
19638,1
752,1
12593,0
7102,0
4788,0
16777,0
7286,0
612,0
20998,0
32948,1
19220,1
7098,0
1474,1
32974,1
19759,0
23676,0
29032,0
3995,0
30074,1
30359,1
31053,1
19608,0
25337,1
26135,0
3939,0
